Country_Code,Name,Capacity_Mw,Latitude,Longitude
AUS,Bremer Bay Diesel Backup,1.3,-34.4018,119.3888
AUS,Brewer,8.5,-23.8817,133.8281
AUS,Brisbane BNE,6.0,-27.404,153.11
AUS,Broadmeadows,12.2,-37.6878,144.9663
AUS,Broadwater,38.0,-29.0118,153.4335
AUS,Broken Hill,50.0,-31.9863,141.4203
AUS,Broken Hill Solar Plant,53.0,-31.9867,141.3915
AUS,Brooklyn,2.83,-37.818,144.8319
AUS,Broome,39.6,-17.981,122.2046
AUS,Brown Mountain,4.95,-36.5951,149.474
AUS,Browns Plains,2.2,-27.6721,153.0663
AUS,Bulwer Island,33.0,-27.4036,153.1363
AUS,Bungala I,110.0,-32.427,137.838
AUS,Bungala II,110.0,-32.408,137.841
AUS,Burrendong,19.0,-32.6646,149.108
AUS,Burrinjuck Power Station,27.0,-35.0025,148.5834
AUS,Burrup Peninsula (Karratha Gas Plant),240.0,-20.6286,116.7821
AUS,Burrup Peninsula (Pluto Phase 1),160.0,-20.5937,116.7802
AUS,Butlers Gorge,14.4,-42.2669,146.2618
AUS,CSIRO Energy Centre,1.5,-32.8835,151.7275
AUS,Callide A,30.0,-24.334,150.628
AUS,Callide B,700.0,-24.3449,150.6197
AUS,Callide C,840.0,-24.3449,150.6182
AUS,Camballin,1.04,-18.0278,124.1621
AUS,Canning Vale,4.0,-32.0739,115.8914
AUS,Cannington Mine,40.0,-21.8601,140.9158
AUS,Canunda Wind Farm,46.0,-37.7603,140.4033
AUS,Cape Bridgewater Wind Farm,58.0,-38.3577,141.385
AUS,Cape Lambert,105.0,-20.6488,117.1407
AUS,Cape Nelson North Wind Farm,22.0,-38.3676,141.543
AUS,Cape Nelson South Wind Farm,44.0,-38.412,141.543
AUS,Cape Preston,450.0,-21.0767,116.159
AUS,Cape Sir William Grant Wind Farm,54.0,-38.3976,141.6209
AUS,Capital Hill Wind Farm,140.0,-35.166,149.5186
AUS,Capral (Aluminium Smelter),300.0,-32.7897,151.4813
AUS,Carnarvon,15.0,-24.8692,113.6754
AUS,Catagunya,48.0,-42.4524,146.5977
AUS,Cathedral Rocks Wind Farm,66.0,-34.8509,135.5852
AUS,Cawse Nickel Mine,21.0,-30.3808,121.1635
AUS,Cethana,85.0,-41.4787,146.1349
AUS,Challicum Hills Wind Farm,52.5,-37.3898,143.114
AUS,Channel Island,310.0,-12.555,130.8666
AUS,Charlestown Square,2.8,-32.9643,151.6936
AUS,Childers,75.0,-25.28,152.38
AUS,Christmas Creek Iron Ore Mine,58.0,-22.399,119.732
AUS,Clare Solar Farm,130.0,-19.8398,147.2105
AUS,Claytons,11.0,-37.9502,145.1187
AUS,Clements Gap Wind Farm,57.0,-33.5086,138.1192
AUS,Clermont Solar Farm,100.0,-22.8446,147.5855
AUS,Cloudbreak,44.0,-22.3247,119.404
AUS,Clover,30.0,-36.7853,147.2205
AUS,Cluny,17.0,-42.5064,146.6812
AUS,Cockburn,240.0,-32.2001,115.7737
AUS,Codrington Wind Farm,18.2,-38.2835,141.9547
AUS,Collgar Wind Farm,206.0,-31.5432,118.4566
AUS,Collie (Bluewaters),416.0,-33.331,116.229
AUS,Collie A,340.0,-33.3422,116.2612
AUS,Collinsville,190.0,-20.5447,147.8049
AUS,Collinsville Solar Farm,42.0,-20.5411,147.8074
AUS,Colongra,724.0,-33.2099,151.5448
AUS,Condamine A,144.0,-26.6682,150.27
AUS,Condong Sugar Mill,30.0,-28.3138,153.4341
AUS,Copeton,24.0,-29.9102,150.9235
AUS,Coral Bay Diesel Backup,2.24,-23.1521,113.7762
AUS,Corio,1.0,-38.0587,144.4056
AUS,Crookwell Wind Farm,4.8,-34.5165,149.5425
AUS,Crowlands Wind Farm,80.0,-37.1216,143.1537
AUS,Cullerin Range Wind Farm,30.0,-34.805,149.4001
AUS,Daandine,33.0,-27.0863,150.943
AUS,Dampier,120.0,-20.648,116.7219
AUS,Darling Downs,644.0,-27.1169,150.8942
AUS,Darling Downs Solar Farm,110.0,-27.1169,150.8942
AUS,Darlot Gold Mine,11.7,-27.8972,121.2698
AUS,Dartmouth (Mount Beauty Hydro Scheme),150.0,-36.5564,147.5206
AUS,Darwin DRW,4.0,-12.4157,130.8908
AUS,Daydream Solar Farm ,50.0,-20.4947,147.7707
AUS,DeGrussa,10.6,-25.55,119.317
AUS,Denham Diesel Backup,1.6,-25.9167,113.534
AUS,Derby,12.53,-17.3141,123.6441
AUS,Devils Gate,60.0,-41.3505,146.2632
AUS,Diamantina,242.0,-20.7837,139.4833
AUS,Dry Creek,156.0,-34.8475,138.5818
AUS,Dubbo,30.0,-32.273,148.658
AUS,EarthPower Biomass Plant,3.9,-33.8204,151.042
AUS,Eastern Creek,5.4,-33.8142,150.8537
AUS,Eastern Creek 2,8.984,-33.8125,150.8617
AUS,Eildon,120.0,-37.222,145.9215
