Country_Code,Name,Gppd_Idnr,Capacity_Mw,Latitude,Longitude
ARM,Shamb,WRI1019030,170.0,39.4743,46.1306
ARM,Spandaryan,WRI1019031,76.0,39.6494,45.85
ARM,Tatev,WRI1019029,158.0,39.3956,46.2578
ARM,Yerevan,WRI1019025,550.0,40.1138,44.5038
AUS,Adelaide Showgrounds,AUS0000432,1.0,-34.9453,138.5882
AUS,Albany Wind Farm,AUS0000065,21.6,-35.0641,117.7977
AUS,Amcor Gawler,AUS0000231,4.0,-34.5509,138.7659
AUS,Angaston,AUS0000232,50.0,-34.5034,139.0246
AUS,Anglesea,AUS0000114,165.0,-38.3861,144.1828
AUS,Angurugu,AUS0000615,3.6,-13.8584,136.4209
AUS,Appin (Mine),AUS0000264,55.6,-34.2082,150.7722
AUS,Ararat Wind Farm,AUS0000611,240.0,-37.2385,143.0794
AUS,Argyle Diamond Mine,AUS0000220,32.0,-16.7162,128.4031
AUS,Bairnsdale,AUS0000081,94.0,-37.8429,147.5639
AUS,Ballarat Base Hospital,AUS0000113,3.0,-37.5596,143.8469
AUS,Banimboola,AUS0000014,12.85,-36.5344,147.4594
AUS,Bankstown Sports Club,AUS0000399,2.0,-33.9197,151.0332
AUS,Bannerton Solar Farm,AUS0000608,88.0,-34.6899,142.7452
AUS,Barcaldine (Len Wishaw),AUS0000008,37.0,-23.5525,145.3142
AUS,Barcaldine KDB,WKS0065252,20.0,-23.549,145.318
AUS,Barcaldine YD,WKS0069521,10.9,-23.5388,145.2732
AUS,Barron Gorge,AUS0000151,60.0,-16.8502,145.6465
AUS,Bastyan,AUS0000137,79.9,-41.736,145.5321
AUS,Bayswater,AUS0000265,2640.0,-32.3953,150.9491
AUS,Belconnen,AUS0000400,1.0,-35.2142,148.9872
AUS,Bell Bay (Bell Bay Three),AUS0000139,115.0,-41.1429,146.903
AUS,Bendeela (Shoalhaven Scheme),AUS0000266,240.0,-34.7337,150.4669
AUS,Berrimah,AUS0000251,10.0,-12.4262,130.9195
AUS,Berwick,AUS0000080,7.2,-38.1197,145.2665
AUS,Beryl AU,WKS0069215,87.0,-32.353,149.468
AUS,Bidyadanga,AUS0000382,1.3,-18.6816,121.7848
AUS,Blayney Wind Farm,AUS0000027,9.9,-33.6219,149.1982
AUS,Blowering,AUS0000267,70.0,-35.3986,148.2463
